,0
  (0, 693)	1.0
  (0, 701)	1.0
  (0, 774)	1.0
  (0, 776)	1.0
  (0, 813)	1.0
  (0, 894)	1.0
  (0, 1075)	1.0
  (0, 1151)	1.0
  (0, 1177)	1.0
  (0, 1199)	1.0
  (0, 1230)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1266)	1.0
  (0, 1295)	1.0
  (0, 1365)	1.0
  (0, 1389)	1.0
  (0, 1393)	1.0
  (0, 1423)	1.0"
19,"  (0, 140)	1.0
  (0, 299)	1.0
  (0, 988)	1.0
  (0, 1116)	1.0
  (0, 1355)	1.0"
20,"  (0, 186)	1.0
  (0, 208)	1.0
  (0, 212)	1.0
  (0, 228)	1.0
  (0, 351)	1.0
  (0, 434)	1.0
  (0, 510)	1.0
  (0, 581)	1.0
  (0, 675)	1.0
  (0, 718)	1.0
  (0, 860)	1.0
  (0, 981)	1.0
  (0, 1144)	1.0
  (0, 1194)	1.0
  (0, 1229)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1301)	1.0
  (0, 1332)	1.0
  (0, 1353)	1.0"
21,"  (0, 41)	1.0
  (0, 55)	1.0
  (0, 78)	1.0
  (0, 135)	1.0
  (0, 151)	1.0
  (0, 597)	1.0
  (0, 619)	1.0
  (0, 647)	1.0
  (0, 648)	1.0
  (0, 676)	1.0
  (0, 682)	1.0
  (0, 812)	1.0
  (0, 821)	1.0
  (0, 883)	1.0
  (0, 913)	1.0
  (0, 971)	1.0
  (0, 1291)	1.0
  (0, 1320)	1.0
  (0, 1334)	1.0
  (0, 1381)	1.0
  (0, 1389)	1.0
  (0, 1412)	1.0
  (0, 1414)	1.0"
22,"  (0, 140)	1.0
  (0, 191)	1.0
  (0, 385)	1.0"
23,"  (0, 1)	1.0
  (0, 52)	1.0
  (0, 176)	1.0
  (0, 393)	1.0
  (0, 398)	1.0
  (0, 546)	1.0
  (0, 564)	1.0
  (0, 729)	1.0
  (0, 755)	1.0
  (0, 794)	1.0
  (0, 868)	1.0
  (0, 986)	1.0
  (0, 1054)	1.0
  (0, 1107)	1.0
  (0, 1118)	1.0
  (0, 1144)	1.0
  (0, 1177)	1.0
  (0, 1187)	1.0
  (0, 1232)	1.0
  (0, 1257)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1278)	1.0
  (0, 1379)	1.0"
24,"  (0, 87)	1.0
  (0, 99)	1.0
  (0, 149)	1.0
  (0, 318)	1.0
  (0, 452)	1.0
  (0, 617)	1.0
  (0, 648)	1.0
  (0, 809)	1.0
  (0, 874)	1.0
  (0, 915)	1.0
  (0, 937)	1.0
  (0, 1004)	1.0
  (0, 1071)	1.0
  (0, 1177)	1.0
  (0, 1194)	1.0
  (0, 1206)	1.0
  (0, 1209)	1.0
  (0, 1254)	1.0
  (0, 1285)	1.0
  (0, 1308)	1.0
  (0, 1413)	1.0"
25,"  (0, 19)	1.0
  (0, 38)	1.0
  (0, 48)	1.0
  (0, 175)	1.0
  (0, 748)	1.0
  (0, 774)	1.0
  (0, 1075)	1.0
  (0, 1249)	1.0"
26,"  (0, 548)	1.0
  (0, 647)	1.0
  (0, 648)	1.0
  (0, 698)	1.0
  (0, 713)	1.0
  (0, 801)	1.0
  (0, 821)	1.0
  (0, 971)	1.0
  (0, 994)	1.0
  (0, 998)	1.0
  (0, 1185)	1.0
  (0, 1238)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1345)	1.0
  (0, 1381)	1.0
  (0, 1403)	1.0
  (0, 1424)	1.0"
27,"  (0, 244)	1.0
  (0, 249)	1.0
  (0, 470)	1.0
  (0, 507)	1.0
  (0, 715)	1.0
  (0, 718)	1.0
  (0, 860)	1.0
  (0, 969)	1.0
  (0, 1012)	1.0
  (0, 1060)	1.0
  (0, 1075)	1.0
  (0, 1131)	1.0
  (0, 1174)	1.0
  (0, 1176)	1.0
  (0, 1177)	1.0
  (0, 1233)	1.0
  (0, 1234)	1.0
  (0, 1262)	1.0
  (0, 1269)	1.0
  (0, 1348)	1.0
  (0, 1376)	1.0
  (0, 1426)	1.0"
28,"  (0, 478)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 703)	1.0
  (0, 1235)	1.0
  (0, 1353)	1.0
  (0, 1356)	1.0"
29,"  (0, 38)	1.0
  (0, 203)	1.0
  (0, 237)	1.0
  (0, 284)	1.0
  (0, 356)	1.0
  (0, 446)	1.0
  (0, 520)	1.0
  (0, 594)	1.0
  (0, 648)	1.0
  (0, 698)	1.0
  (0, 723)	1.0
  (0, 829)	1.0
  (0, 874)	1.0
  (0, 942)	1.0
  (0, 963)	1.0
  (0, 1060)	1.0
  (0, 1071)	1.0
  (0, 1138)	1.0
  (0, 1177)	1.0
  (0, 1263)	1.0
  (0, 1308)	1.0
  (0, 1330)	1.0
  (0, 1332)	1.0
  (0, 1352)	1.0
  (0, 1359)	1.0"
30,"  (0, 19)	1.0
  (0, 87)	1.0
  (0, 132)	1.0
  (0, 258)	1.0
  (0, 261)	1.0
  (0, 288)	1.0
  (0, 372)	1.0
  (0, 481)	1.0
  (0, 664)	1.0
  (0, 774)	1.0
  (0, 780)	1.0
  (0, 916)	1.0
  (0, 939)	1.0
  (0, 1059)	1.0
  (0, 1121)	1.0
  (0, 1125)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1253)	1.0
  (0, 1308)	1.0
  (0, 1328)	1.0
  (0, 1339)	1.0"
31,"  (0, 19)	1.0
  (0, 98)	1.0
  (0, 125)	1.0
  (0, 195)	1.0
  (0, 251)	1.0
  (0, 398)	1.0
  (0, 447)	1.0
  (0, 488)	1.0
  (0, 504)	1.0
  (0, 507)	1.0
  (0, 597)	1.0
  (0, 680)	1.0
  (0, 696)	1.0
  (0, 774)	1.0
  (0, 854)	1.0
  (0, 911)	1.0
  (0, 922)	1.0
  (0, 926)	1.0
  (0, 1011)	1.0
  (0, 1027)	1.0
  (0, 1138)	1.0
  (0, 1171)	1.0
  (0, 1203)	1.0
  (0, 1263)	1.0"
32,"  (0, 19)	1.0
  (0, 38)	1.0
  (0, 168)	1.0
  (0, 187)	1.0
  (0, 292)	1.0
  (0, 404)	1.0
  (0, 507)	1.0
  (0, 521)	1.0
  (0, 588)	1.0
  (0, 666)	1.0
  (0, 701)	1.0
  (0, 831)	1.0
  (0, 873)	1.0
  (0, 874)	1.0
  (0, 1073)	1.0
  (0, 1132)	1.0
  (0, 1202)	1.0
  (0, 1205)	1.0
  (0, 1259)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1352)	1.0"
33,"  (0, 19)	1.0
  (0, 57)	1.0
  (0, 58)	1.0
  (0, 131)	1.0
  (0, 191)	1.0
  (0, 361)	1.0
  (0, 396)	1.0
  (0, 402)	1.0
  (0, 507)	1.0
  (0, 514)	1.0
  (0, 588)	1.0
  (0, 647)	1.0
  (0, 664)	1.0
  (0, 1097)	1.0
  (0, 1119)	1.0
  (0, 1172)	1.0
  (0, 1174)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1208)	1.0
  (0, 1254)	1.0
  (0, 1393)	1.0
  (0, 1397)	1.0
  (0, 1423)	1.0"
34,"  (0, 34)	1.0
  (0, 240)	1.0
  (0, 295)	1.0
  (0, 428)	1.0
  (0, 441)	1.0
  (0, 581)	1.0
  (0, 604)	1.0
  (0, 669)	1.0
  (0, 690)	1.0
  (0, 1060)	1.0
  (0, 1177)	1.0
  (0, 1198)	1.0
  (0, 1263)	1.0
  (0, 1270)	1.0
  (0, 1292)	1.0
  (0, 1334)	1.0
  (0, 1391)	1.0
  (0, 1422)	1.0"
35,"  (0, 27)	1.0
  (0, 132)	1.0
  (0, 173)	1.0
  (0, 182)	1.0
  (0, 230)	1.0
  (0, 386)	1.0
  (0, 448)	1.0
  (0, 591)	1.0
  (0, 776)	1.0
  (0, 777)	1.0
  (0, 945)	1.0
  (0, 981)	1.0
  (0, 1037)	1.0
  (0, 1131)	1.0
  (0, 1230)	1.0
  (0, 1239)	1.0
  (0, 1262)	1.0
  (0, 1332)	1.0
  (0, 1339)	1.0
  (0, 1348)	1.0
  (0, 1372)	1.0
  (0, 1385)	1.0
  (0, 1397)	1.0"
36,"  (0, 4)	1.0
  (0, 44)	1.0
  (0, 78)	1.0
  (0, 153)	1.0
  (0, 187)	1.0
  (0, 298)	1.0
  (0, 329)	1.0
  (0, 337)	1.0
  (0, 428)	1.0
  (0, 471)	1.0
  (0, 644)	1.0
  (0, 750)	1.0
  (0, 787)	1.0
  (0, 963)	1.0
  (0, 1075)	1.0
  (0, 1230)	1.0
  (0, 1263)	1.0
  (0, 1348)	1.0
  (0, 1395)	1.0"
37,"  (0, 12)	1.0
  (0, 19)	1.0
  (0, 61)	1.0
  (0, 130)	1.0
  (0, 182)	1.0
  (0, 198)	1.0
  (0, 199)	1.0
  (0, 237)	1.0
  (0, 351)	1.0
  (0, 413)	1.0
  (0, 507)	1.0
  (0, 540)	1.0
  (0, 704)	1.0
  (0, 774)	1.0
  (0, 819)	1.0
  (0, 860)	1.0
  (0, 969)	1.0
  (0, 1118)	1.0
  (0, 1166)	1.0
  (0, 1215)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1379)	1.0
  (0, 1393)	1.0"
38,"  (0, 49)	1.0
  (0, 54)	1.0
  (0, 59)	1.0
  (0, 466)	1.0
  (0, 560)	1.0
  (0, 673)	1.0
  (0, 754)	1.0
  (0, 764)	1.0
  (0, 827)	1.0
  (0, 842)	1.0
  (0, 847)	1.0
  (0, 915)	1.0
  (0, 969)	1.0
  (0, 1032)	1.0
  (0, 1159)	1.0
  (0, 1177)	1.0
  (0, 1179)	1.0
  (0, 1231)	1.0
  (0, 1290)	1.0
  (0, 1308)	1.0
  (0, 1328)	1.0
  (0, 1331)	1.0
  (0, 1381)	1.0"
39,"  (0, 26)	1.0
  (0, 77)	1.0
  (0, 135)	1.0
  (0, 176)	1.0
  (0, 276)	1.0
  (0, 446)	1.0
  (0, 540)	1.0
  (0, 694)	1.0
  (0, 729)	1.0
  (0, 929)	1.0
  (0, 981)	1.0
  (0, 1109)	1.0
  (0, 1177)	1.0
  (0, 1184)	1.0
  (0, 1209)	1.0
  (0, 1262)	1.0
  (0, 1263)	1.0
  (0, 1330)	1.0
  (0, 1352)	1.0
  (0, 1360)	1.0
  (0, 1384)	1.0
  (0, 1409)	1.0"
40,"  (0, 88)	1.0
  (0, 131)	1.0
  (0, 189)	1.0
  (0, 282)	1.0
  (0, 378)	1.0
  (0, 470)	1.0
  (0, 563)	1.0
  (0, 693)	1.0
  (0, 700)	1.0
  (0, 715)	1.0
  (0, 754)	1.0
  (0, 755)	1.0
  (0, 777)	1.0
  (0, 836)	1.0
  (0, 891)	1.0
  (0, 955)	1.0
  (0, 1075)	1.0
  (0, 1187)	1.0
  (0, 1306)	1.0"
41,"  (0, 77)	1.0
  (0, 238)	1.0
  (0, 281)	1.0
  (0, 446)	1.0
  (0, 471)	1.0
  (0, 507)	1.0
  (0, 666)	1.0
  (0, 693)	1.0
  (0, 694)	1.0
  (0, 698)	1.0
  (0, 751)	1.0
  (0, 777)	1.0
  (0, 1054)	1.0
  (0, 1109)	1.0
  (0, 1209)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1360)	1.0
  (0, 1376)	1.0"
42,"  (0, 40)	1.0
  (0, 758)	1.0
  (0, 1209)	1.0
  (0, 1253)	1.0
  (0, 1299)	1.0"
43,"  (0, 47)	1.0
  (0, 77)	1.0
  (0, 96)	1.0
  (0, 125)	1.0
  (0, 132)	1.0
  (0, 135)	1.0
  (0, 168)	1.0
  (0, 212)	1.0
  (0, 446)	1.0
  (0, 451)	1.0
  (0, 507)	1.0
  (0, 534)	1.0
  (0, 540)	1.0
  (0, 775)	1.0
  (0, 783)	1.0
  (0, 808)	1.0
  (0, 1109)	1.0
  (0, 1127)	1.0
  (0, 1177)	1.0
  (0, 1209)	1.0
  (0, 1301)	1.0"
44,"  (0, 19)	1.0
  (0, 23)	1.0
  (0, 100)	1.0
  (0, 216)	1.0
  (0, 273)	1.0
  (0, 324)	1.0
  (0, 402)	1.0
  (0, 548)	1.0
  (0, 619)	1.0
  (0, 637)	1.0
  (0, 724)	1.0
  (0, 821)	1.0
  (0, 931)	1.0
  (0, 978)	1.0
  (0, 1189)	1.0
  (0, 1302)	1.0
  (0, 1305)	1.0
  (0, 1318)	1.0
  (0, 1386)	1.0"
45,"  (0, 19)	1.0
  (0, 130)	1.0
  (0, 172)	1.0
  (0, 177)	1.0
  (0, 469)	1.0
  (0, 510)	1.0
  (0, 548)	1.0
  (0, 698)	1.0
  (0, 853)	1.0
  (0, 860)	1.0
  (0, 967)	1.0
  (0, 971)	1.0
  (0, 1131)	1.0
  (0, 1132)	1.0
  (0, 1170)	1.0
  (0, 1175)	1.0
  (0, 1177)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1254)	1.0
  (0, 1339)	1.0
  (0, 1381)	1.0"
46,"  (0, 152)	1.0
  (0, 168)	1.0
  (0, 340)	1.0
  (0, 507)	1.0
  (0, 509)	1.0
  (0, 581)	1.0
  (0, 734)	1.0
  (0, 1031)	1.0
  (0, 1058)	1.0
  (0, 1155)	1.0
  (0, 1255)	1.0
  (0, 1263)	1.0
  (0, 1355)	1.0
  (0, 1359)	1.0
  (0, 1381)	1.0"
47,"  (0, 129)	1.0
  (0, 238)	1.0
  (0, 336)	1.0
  (0, 415)	1.0
  (0, 524)	1.0
  (0, 698)	1.0
  (0, 806)	1.0
  (0, 893)	1.0
  (0, 998)	1.0
  (0, 1209)	1.0
  (0, 1234)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1285)	1.0
  (0, 1328)	1.0
  (0, 1424)	1.0"
48,"  (0, 1)	1.0
  (0, 19)	1.0
  (0, 157)	1.0
  (0, 173)	1.0
  (0, 187)	1.0
  (0, 456)	1.0
  (0, 507)	1.0
  (0, 744)	1.0
  (0, 780)	1.0
  (0, 859)	1.0
  (0, 1198)	1.0
  (0, 1263)	1.0"
49,"  (0, 1)	1.0
  (0, 157)	1.0
  (0, 304)	1.0
  (0, 374)	1.0
  (0, 469)	1.0
  (0, 610)	1.0
  (0, 1071)	1.0
  (0, 1073)	1.0
  (0, 1138)	1.0
  (0, 1177)	1.0
  (0, 1246)	1.0
  (0, 1259)	1.0
  (0, 1314)	1.0
  (0, 1387)	1.0
  (0, 1392)	1.0"
50,"  (0, 204)	1.0
  (0, 231)	1.0
  (0, 260)	1.0
  (0, 273)	1.0
  (0, 274)	1.0
  (0, 476)	1.0
  (0, 507)	1.0
  (0, 540)	1.0
  (0, 619)	1.0
  (0, 703)	1.0
  (0, 735)	1.0
  (0, 754)	1.0
  (0, 1076)	1.0
  (0, 1280)	1.0
  (0, 1328)	1.0
  (0, 1348)	1.0
  (0, 1352)	1.0
  (0, 1401)	1.0"
51,"  (0, 132)	1.0
  (0, 274)	1.0
  (0, 313)	1.0
  (0, 336)	1.0
  (0, 469)	1.0
  (0, 615)	1.0
  (0, 680)	1.0
  (0, 706)	1.0
  (0, 729)	1.0
  (0, 755)	1.0
  (0, 969)	1.0
  (0, 1028)	1.0
  (0, 1071)	1.0
  (0, 1087)	1.0
  (0, 1151)	1.0
  (0, 1170)	1.0
  (0, 1209)	1.0
  (0, 1307)	1.0
  (0, 1353)	1.0
  (0, 1366)	1.0
  (0, 1367)	1.0
  (0, 1379)	1.0
  (0, 1385)	1.0
  (0, 1430)	1.0"
52,"  (0, 19)	1.0
  (0, 136)	1.0
  (0, 420)	1.0
  (0, 456)	1.0
  (0, 480)	1.0
  (0, 507)	1.0
  (0, 568)	1.0
  (0, 592)	1.0
  (0, 711)	1.0
  (0, 755)	1.0
  (0, 774)	1.0
  (0, 912)	1.0
  (0, 944)	1.0
  (0, 1042)	1.0
  (0, 1131)	1.0
  (0, 1174)	1.0
  (0, 1187)	1.0
  (0, 1263)	1.0
  (0, 1328)	1.0
  (0, 1349)	1.0
  (0, 1365)	1.0"
53,"  (0, 16)	1.0
  (0, 23)	1.0
  (0, 292)	1.0
  (0, 394)	1.0
  (0, 407)	1.0
  (0, 619)	1.0
  (0, 625)	1.0
  (0, 723)	1.0
  (0, 749)	1.0
  (0, 826)	1.0
  (0, 868)	1.0
  (0, 893)	1.0
  (0, 1036)	1.0
  (0, 1054)	1.0
  (0, 1071)	1.0
  (0, 1171)	1.0
  (0, 1208)	1.0
  (0, 1209)	1.0
  (0, 1254)	1.0
  (0, 1345)	1.0
  (0, 1349)	1.0"
54,"  (0, 62)	1.0
  (0, 99)	1.0
  (0, 132)	1.0
  (0, 142)	1.0
  (0, 292)	1.0
  (0, 402)	1.0
  (0, 462)	1.0
  (0, 495)	1.0
  (0, 507)	1.0
  (0, 575)	1.0
  (0, 648)	1.0
  (0, 675)	1.0
  (0, 724)	1.0
  (0, 733)	1.0
  (0, 778)	1.0
  (0, 779)	1.0
  (0, 821)	1.0
  (0, 1071)	1.0
  (0, 1097)	1.0
  (0, 1151)	1.0
  (0, 1230)	1.0
  (0, 1331)	1.0
  (0, 1334)	1.0
  (0, 1348)	1.0
  (0, 1422)	1.0"
55,"  (0, 160)	1.0
  (0, 217)	1.0
  (0, 442)	1.0
  (0, 450)	1.0
  (0, 507)	1.0
  (0, 675)	1.0
  (0, 715)	1.0
  (0, 755)	1.0
  (0, 808)	1.0
  (0, 812)	1.0
  (0, 859)	1.0
  (0, 911)	1.0
  (0, 969)	1.0
  (0, 1123)	1.0
  (0, 1138)	1.0
  (0, 1152)	1.0
  (0, 1177)	1.0
  (0, 1259)	1.0
  (0, 1327)	1.0
  (0, 1378)	1.0
  (0, 1389)	1.0"
56,"  (0, 161)	1.0
  (0, 205)	1.0
  (0, 238)	1.0
  (0, 341)	1.0
  (0, 507)	1.0
  (0, 601)	1.0
  (0, 763)	1.0
  (0, 826)	1.0
  (0, 874)	1.0
  (0, 969)	1.0
  (0, 1076)	1.0
  (0, 1137)	1.0
  (0, 1177)	1.0
  (0, 1199)	1.0
  (0, 1247)	1.0
  (0, 1249)	1.0
  (0, 1305)	1.0"
57,"  (0, 19)	1.0
  (0, 77)	1.0
  (0, 181)	1.0
  (0, 288)	1.0
  (0, 370)	1.0
  (0, 466)	1.0
  (0, 474)	1.0
  (0, 571)	1.0
  (0, 619)	1.0
  (0, 764)	1.0
  (0, 938)	1.0
  (0, 939)	1.0
  (0, 960)	1.0
  (0, 1153)	1.0
  (0, 1170)	1.0
  (0, 1231)	1.0
  (0, 1281)	1.0"
58,"  (0, 19)	1.0
  (0, 225)	1.0
  (0, 230)	1.0
  (0, 324)	1.0
  (0, 336)	1.0
  (0, 383)	1.0
  (0, 421)	1.0
  (0, 474)	1.0
  (0, 507)	1.0
